,0
skew_S,0.060173966752193137
homogeneity_0,0.057949837040585074
mean_S,0.050045027240387265
mean_B,0.045689437475155074
hist_B_14,0.040017259246729504
mean_V,0.0348333567540523
hist_B_13,0.031856192570479974
skew_H,0.029489972008603087
kurt_S,0.025349181153809987
hist_R_15,0.024829687289095435
